	Taille	Poids	Veloc.	Intell.	Affect.	Agress.	Fonct.
Beauceron	3	2	3	2	2	2	3
Basset	1	1	1	1	1	2	2
Berger_Allemand	3	2	3	3	2	2	3
Boxer	2	2	2	2	2	2	1
Bull-Dog	1	1	1	2	2	1	1	
Bull-Mastiff	3	3	1	3	1	2	3
Caniche	1	1	2	3	2	1	1
Chihuahua	1	1	1	1	2	1	1
Cocker	2	1	1	2	2	2	1
Colley	3	2	3	2	2	1	1
Dalmatien	2	2	2	2	2	1	1
Dobermann	3	2	3	3	1	2	3
Dogue_Allemand	3	3	3	1	1	2	3
Epagneul_Breton	2	2	2	3	2	1	2
Epagneul_Francais	3	2	2	2	1	1	2
Fox-Hound	3	2	3	1	1	2	2
Fox-Terrier	1	1	2	2	2	2	1
Grand_Bleu_de_Gascogne	3	2	2	1	1	2	2
Labrador	2	2	2	2	2	1	2
Levrier	3	2	3	1	1	1	2
Mastiff	3	3	1	1	1	2	3
Pekinois	1	1	1	1	2	1	1
Pointer	3	2	3	3	1	1	2
Saint-Bernard	3	3	1	2	1	2	3
Setter	3	2	3	2	1	1	2
Teckel	1	1	1	2	2	1	1
Terre-Neuve	3	3	1	2	1	1	3
