	Orly	Alezan	Corsaire	Directoire	Ducat	Fontenoy	Icare	Zodiaque	Pavois	Cocker	Escale	Hotesse
vieillot 	1	2	14	38	18	10	9	5	9	4	0	1
nouveau_riche 	20	9	1	11	10	9	1	1	20	9	7	12
sobre_elegant 	9	23	1	15	7	11	6	2	7	12	3	17
cocasse_ridicule 	1	1	15	15	6	5	12	18	4	25	2	2
race 	4	11	7	8	1	6	6	4	5	15	5	1
mievre 	3	9	1	7	7	5	12	9	6	9	6	13
distingue 	11	9	1	17	4	21	6	1	5	4	5	27
vulgaire_commun 	4	4	32	2	6	0	9	7	3	10	12	7
pour_un_homme 	9	12	23	4	7	13	5	5	10	5	13	9
pour_une_femme 	9	3	9	8	4	2	6	8	1	6	23	33
pour_une_petite_nature 	7	5	2	7	11	2	6	11	9	24	10	5
